Date,Close_Danske,Close_Maersk,Close_Merged,Close_ISS,Close
2016-12-20,213.300003,9982.049805,127.400002,237.100006,1002.299988
2016-12-21,213.399994,9903.587891,126.75,237.5,1002.969971
2016-12-22,213.5,9964.614258,127.150002,236.899994,1005.72998
2016-12-23,215.0,9938.459961,127.5,236.300003,1007.369995
2016-12-27,215.5,9886.152344,127.400002,239.0,1011.75
2016-12-28,214.0,9894.870117,127.599998,238.300003,1012.809998
2016-12-29,215.100006,9955.895508,128.0,237.899994,1016.690002
2016-12-30,214.199997,9825.126953,127.349998,238.399994,1015.880005
2017-01-03,219.800003,10252.305664,129.300003,245.0,1030.890015
2017-01-04,217.5,10121.537109,128.0,245.100006,1025.780029
2017-01-05,218.100006,10391.792969,129.600006,244.800003,1034.98999
2017-01-06,220.199997,10609.742188,128.5,239.399994,1037.589966
2017-01-09,217.300003,10444.100586,128.050003,238.800003,1031.5
2017-01-10,218.600006,10147.69043,127.0,236.399994,1026.300049
2017-01-11,218.100006,10348.203125,127.650002,236.800003,1034.27002
2017-01-12,219.899994,10435.382813,122.550003,238.0,1024.949951
2017-01-13,223.5,10444.100586,125.150002,244.300003,1039.680054
2017-01-17,222.300003,10409.229492,124.949997,241.699997,1033.550049
2017-01-18,221.899994,9964.614258,125.25,241.800003,1030.349976
2017-01-19,223.199997,10130.254883,125.25,242.0,1033.5
2017-01-20,226.300003,10086.665039,124.400002,240.600006,1033.48999
2017-01-23,223.5,10034.357422,121.900002,240.199997,1026.280029
2017-01-24,222.899994,10008.203125,120.0,239.5,1024.959961
2017-01-25,228.699997,10339.485352,121.199997,239.899994,1038.839966
2017-01-26,229.199997,10313.332031,122.849998,240.0,1044.709961
2017-01-27,230.0,10130.254883,124.300003,246.199997,1052.619995
2017-01-30,229.399994,10077.947266,124.0,241.600006,1048.150024
2017-01-31,229.300003,10016.921875,123.699997,244.699997,1049.560059
2017-02-01,230.5,10234.870117,124.75,249.100006,1061.130005
2017-02-02,238.100006,9929.742188,115.650002,248.199997,1055.48999
2017-02-03,238.399994,10034.357422,116.199997,249.399994,1060.790039
2017-02-06,234.5,10130.254883,116.25,246.899994,1053.77002
2017-02-07,236.399994,10147.69043,116.75,253.699997,1052.380005
2017-02-08,234.5,9642.049805,116.5,253.199997,1044.900024
2017-02-09,236.5,10043.075195,120.099998,255.100006,1060.939941
2017-02-10,236.199997,10409.229492,120.699997,253.0,1065.910034
2017-02-13,236.300003,10566.152344,120.849998,254.800003,1071.579956
2017-02-14,238.0,10548.716797,120.849998,253.800003,1071.5
2017-02-15,242.5,10635.895508,120.849998,254.699997,1074.790039
2017-02-16,241.899994,10670.767578,123.199997,253.100006,1076.810059
2017-02-17,242.399994,10435.382813,123.5,253.0,1072.359985
2017-02-21,242.600006,10400.510742,124.849998,253.899994,1076.859985
2017-02-22,240.0,10313.332031,124.699997,256.299988,1074.719971
2017-02-23,238.5,10077.947266,124.400002,262.100006,1072.430054
2017-02-24,235.199997,9851.280273,124.650002,265.600006,1061.079956
2017-02-27,235.800003,10016.921875,124.75,269.700012,1059.719971
2017-02-28,234.199997,9973.332031,124.599998,273.399994,1060.329956
2017-03-01,240.5,10217.43457,122.949997,277.100006,1072.329956
2017-03-02,240.100006,10287.177734,122.900002,275.799988,1072.680054
2017-03-03,241.800003,10086.665039,121.650002,275.100006,1066.51001
2017-03-06,241.0,10199.998047,119.199997,274.200012,1061.949951
2017-03-07,240.300003,10138.972656,117.5,274.200012,1056.48999
2017-03-08,240.5,10339.485352,116.300003,274.100006,1057.430054
2017-03-09,241.800003,10156.40918,116.550003,274.5,1056.089966
2017-03-10,243.199997,10278.459961,117.699997,274.899994,1065.530029
2017-03-13,243.5,10461.537109,117.699997,274.799988,1070.02002
2017-03-14,244.100006,10330.767578,118.449997,273.899994,1071.319946
2017-03-15,245.300003,10435.382813,117.449997,274.0,1073.050049
2017-03-16,246.899994,10539.998047,118.0,276.700012,1078.01001
2017-03-17,240.899994,10583.587891,117.800003,278.299988,1075.630005
2017-03-20,240.699997,10496.408203,118.699997,275.700012,1075.439941
2017-03-21,235.5,10226.152344,117.349998,272.5,1061.119995
2017-03-22,235.0,10025.639648,116.75,268.899994,1054.300049
