Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,33.799999,33.799999,33.799999,33.799999,25.413744,7367520
2010-01-05,33.387798,33.387798,33.387798,33.387798,25.103819,8335990
2010-01-06,33.750000,33.750000,33.750000,33.750000,25.376148,9373030
2010-01-07,33.700001,33.810001,33.549999,33.560001,25.233295,468890
2010-01-08,33.680000,34.080002,33.299999,34.000000,25.564119,589890
2010-01-11,35.000000,35.000000,34.599998,35.000000,26.316004,10199210
2010-01-12,34.599998,34.599998,34.599998,34.599998,26.015251,6948630
2010-01-13,34.150002,34.700001,33.900002,34.639999,26.045328,6230270
2010-01-14,35.000000,35.099998,35.000000,35.099998,26.391195,6387050
2010-01-15,34.900002,34.900002,34.330002,34.349998,25.827278,11010450
2010-01-18,34.099998,34.099998,34.099998,34.099998,25.639317,4503170
2010-01-19,34.099998,34.910000,33.919998,34.900002,26.240818,6806830
2010-01-20,35.400002,35.400002,35.400002,35.400002,26.616766,12862860
2010-01-21,35.400002,35.400002,34.259998,34.259998,25.759613,9439840
2010-01-22,34.180000,34.549999,34.029999,34.139999,25.669384,9112810
2010-01-25,34.299999,34.880001,34.209999,34.750000,26.128031,7478450
2010-01-26,36.299999,36.299999,36.099998,36.299999,27.293457,45197290
2010-01-27,36.849998,36.950001,36.849998,36.950001,27.782181,26041820
2010-01-28,37.490002,37.599998,36.790001,36.919998,27.759623,12173000
2010-01-29,36.650002,36.650002,36.650002,36.650002,27.556620,14751290
2010-02-01,36.220001,37.470001,36.209999,37.470001,28.173166,13084060
2010-02-02,36.500000,36.500000,36.500000,36.500000,27.443830,23715000
2010-02-03,37.599998,38.099998,37.599998,38.099998,28.646851,32364920
2010-02-04,37.900002,38.000000,37.500000,37.500000,28.195726,17306800
2010-02-05,37.650002,37.799999,37.230000,37.770000,28.398729,20592540
2010-02-08,37.799999,38.000000,37.020000,37.610001,28.278427,11276020
2010-02-09,37.500000,37.799999,37.180000,37.529999,28.218281,14912370
2010-02-10,37.599998,37.639999,37.130001,37.500000,28.195726,8471430
2010-02-11,37.700001,37.980000,37.590000,37.970001,28.549110,11321450
2010-02-12,38.110001,38.720001,38.110001,38.689999,29.090469,16913140
2010-02-15,38.810001,39.380001,38.759998,39.139999,29.428816,10613760
2010-02-16,39.200001,39.340000,39.009998,39.270000,29.526560,10143140
2010-02-17,39.400002,39.480000,39.130001,39.299999,29.549110,9848450
2010-02-18,39.480000,39.490002,39.150002,39.490002,29.691977,5702890
2010-02-19,39.480000,39.650002,39.240002,39.560001,29.744617,7260180
2010-02-22,39.400002,39.950001,39.330002,39.520000,29.714525,9470330
2010-02-23,39.750000,39.900002,38.720001,38.900002,29.248365,13740070
2010-02-24,38.900002,39.520000,38.900002,39.099998,29.398743,8906020
2010-02-25,38.849998,39.130001,38.570000,38.700001,29.097982,9723940
2010-02-26,39.000000,39.099998,38.360001,38.599998,29.022795,12685620
2010-03-01,38.900002,39.540001,38.900002,39.500000,29.699493,9636120
2010-03-02,39.470001,39.700001,39.400002,39.570000,29.752125,5759250
2010-03-03,39.599998,39.950001,39.560001,39.630001,29.797241,8233420
2010-03-04,39.669998,39.799999,39.619999,39.790001,29.917542,9122000
2010-03-05,39.750000,40.470001,39.750000,40.410000,30.383709,8916880
2010-03-08,40.250000,40.820000,40.250000,40.820000,30.691984,8802630
2010-03-09,40.900002,40.939999,40.500000,40.820000,30.691984,6295680
2010-03-10,40.930000,41.320000,40.639999,41.299999,31.052887,8019200
2010-03-11,40.950001,41.230000,40.799999,40.939999,30.782207,10562690
2010-03-12,41.099998,41.150002,40.549999,40.840000,30.707020,7889310
2010-03-15,40.599998,41.119999,40.349998,40.970001,30.804764,8007080
2010-03-16,41.099998,42.070000,41.099998,41.900002,31.504017,11190880
2010-03-17,42.180000,42.619999,42.049999,42.389999,31.872438,15532420
2010-03-18,42.650002,42.790001,42.049999,42.150002,31.691996,8169280
2010-03-19,42.389999,42.970001,42.279999,42.730000,32.128082,9136990
2010-03-22,42.599998,42.799999,42.220001,42.500000,31.955162,9009660
2010-03-23,42.599998,43.099998,42.400002,43.099998,32.406281,7676180
2010-03-24,43.480000,44.500000,43.099998,44.490002,33.451405,17092400
2010-03-25,44.000000,44.930000,43.599998,44.200001,33.803207,19723590
2010-03-26,44.029999,44.330002,43.419998,43.500000,33.267857,16130120
2010-03-29,43.549999,43.799999,42.840000,43.049999,32.923710,9134880
2010-03-30,43.299999,43.299999,42.770000,43.060001,32.931366,11955530
2010-03-31,43.000000,43.139999,42.619999,42.770000,32.709572,10533270
2010-04-06,44.230000,44.310001,43.500000,44.279999,33.864384,12079860
2010-04-07,44.250000,44.650002,44.110001,44.450001,33.994400,9349780
2010-04-08,44.130001,44.200001,43.750000,43.750000,33.459053,8835200
2010-04-09,43.900002,44.060001,43.240002,43.240002,33.069012,14532030
2010-04-12,43.240002,43.240002,43.240002,43.240002,33.069012,0
2010-04-13,43.910000,44.230000,43.599998,44.150002,33.764957,8194480
2010-04-14,44.200001,44.290001,43.880001,44.049999,33.688484,5878910
2010-04-15,44.099998,44.599998,44.099998,44.400002,33.956158,7223700
2010-04-16,44.299999,44.599998,44.209999,44.549999,34.070885,5758490
