Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,6398.973145,6612.854492,6398.973145,6612.854492,3215.284668,55190
2010-01-05,6664.745117,6664.745117,6664.745117,6664.745117,3240.515137,58236
2010-01-06,6712.819336,6782.562988,6712.819336,6730.255371,3272.367920,36958
2010-01-07,6725.024414,7000.511719,6712.819336,6972.614258,3390.207031,11516
2010-01-08,7131.280762,7131.280762,7131.280762,7131.280762,3467.353027,98738
2010-01-11,7270.768066,7270.768066,7270.768066,7270.768066,3535.173096,86958
2010-01-12,7305.640137,7366.665527,7077.229492,7265.537109,3532.630615,79714
2010-01-13,7234.152832,7347.485840,7183.588867,7209.742676,3505.501709,55597
2010-01-14,7340.511719,7417.229492,7323.075684,7366.665527,3581.800537,51485
2010-01-15,7453.845215,7514.870605,7453.845215,7514.870605,3653.860596,96284
2010-01-18,7523.588379,7654.357910,7523.588379,7537.537109,3664.880615,45572
2010-01-19,7523.588379,7593.332031,7410.255371,7575.896484,3683.532227,63982
2010-01-20,7340.511719,7445.126953,7340.511719,7445.126953,3619.949707,70005
2010-01-21,7507.896484,7530.562988,7352.716797,7380.614258,3588.582764,94351
2010-01-22,7343.999023,7420.716797,7272.511719,7361.434570,3579.257813,90422
2010-01-25,7246.357910,7445.126953,7246.357910,7385.845215,3591.125732,34635
2010-01-26,7288.204102,7288.204102,7288.204102,7288.204102,3543.651611,46736
2010-01-27,7148.716797,7204.511719,7049.332031,7103.383301,3453.788574,63478
2010-01-28,7253.332031,7253.332031,7253.332031,7253.332031,3526.695801,59222
2010-01-29,7370.152832,7370.152832,7370.152832,7370.152832,3583.496338,38558
2010-02-01,7288.204102,7506.152832,7288.204102,7485.229492,3639.447998,33557
2010-02-02,7554.973145,7636.921875,7532.306641,7591.588379,3691.162109,42791
2010-02-03,7636.921875,7802.562988,7588.101563,7610.768066,3700.487793,75046
2010-02-04,7453.845215,7453.845215,7418.973145,7418.973145,3607.233643,77070
2010-02-05,7323.075684,7377.126953,7148.716797,7221.947754,3511.436768,112721
2010-02-08,7410.255371,7410.255371,7113.845215,7166.152832,3484.308105,51921
2010-02-09,7206.255371,7337.024414,7174.870605,7253.332031,3526.695801,45188
2010-02-10,7314.357910,7389.332031,7258.562988,7296.921875,3547.890869,41150
2010-02-11,7340.511719,7406.768066,7323.075684,7342.255371,3569.932129,56521
2010-02-12,7411.999023,7466.050293,7270.768066,7403.280762,3599.604004,56280
2010-02-15,7411.999023,7425.947754,7279.485840,7333.537109,3565.692871,27414
2010-02-16,7392.819336,7392.819336,7258.562988,7359.691406,3578.409668,40502
2010-02-17,7427.691406,7513.126953,7410.255371,7513.126953,3653.012207,30311
2010-02-18,7445.126953,7523.588379,7427.691406,7492.204102,3642.839600,33557
2010-02-19,7410.255371,7488.716797,7392.819336,7462.562988,3628.427734,22889
2010-02-22,7497.434570,7575.896484,7497.434570,7565.434570,3678.446045,36069
2010-02-23,7584.614258,7642.152832,7445.126953,7481.742676,3637.753418,26623
2010-02-24,7427.691406,7514.870605,7399.793945,7514.870605,3653.860596,39521
2010-02-25,7410.255371,7462.562988,7248.101563,7267.280762,3533.478516,56859
2010-02-26,7323.075684,7366.665527,7218.460449,7289.947754,3544.499268,49644
2010-03-01,7410.255371,7535.793945,7359.691406,7525.332031,3658.947266,41546
2010-03-02,7527.075684,7645.639648,7516.614258,7532.306641,3662.338867,43284
2010-03-03,7532.306641,7636.921875,7528.819336,7635.178223,3712.355957,41374
2010-03-04,7183.588867,7392.819336,7126.050293,7338.768066,3568.236572,127816
2010-03-05,7410.255371,7554.973145,7392.819336,7554.973145,3673.359375,45245
2010-03-08,7602.050293,7609.024414,7429.434570,7457.332031,3625.883789,31853
2010-03-09,7445.126953,7445.126953,7291.691406,7373.639648,3585.191650,58878
2010-03-10,7340.511719,7595.075684,7331.793945,7595.075684,3692.858154,40233
2010-03-11,7542.768066,7687.485840,7492.204102,7500.921875,3647.078613,58173
2010-03-12,7549.742188,7614.255371,7462.562988,7462.562988,3628.427734,23812
2010-03-15,7434.665527,7507.896484,7401.537109,7434.665527,3614.863770,18341
2010-03-16,7436.409180,7478.255371,7396.306641,7450.357910,3622.493408,31790
2010-03-17,7481.742676,7514.870605,7408.511719,7410.255371,3602.994873,29129
2010-03-18,7366.665527,7443.383301,7331.793945,7392.819336,3594.517334,26302
2010-03-19,7410.255371,7422.460449,7295.178223,7323.075684,3560.606445,49013
2010-03-22,7323.075684,7361.434570,7270.768066,7361.434570,3579.257813,22035
2010-03-23,7375.383301,7471.280762,7375.383301,7466.050293,3630.123535,18674
2010-03-24,7549.742188,7584.614258,7422.460449,7445.126953,3619.949707,25545
2010-03-25,7411.999023,7481.742676,7401.537109,7424.204102,3609.776611,25837
2010-03-26,7471.280762,7471.280762,7288.204102,7288.204102,3543.651611,40399
2010-03-29,7321.332031,7347.485840,7228.921875,7279.485840,3539.413086,47711
2010-03-30,7314.357910,7338.768066,7244.614258,7323.075684,3560.606445,28280
2010-03-31,7305.640137,7323.075684,7251.588867,7323.075684,3560.606445,41053
2010-04-06,7398.050293,7471.280762,7340.511719,7453.845215,3624.188721,66615
2010-04-07,7462.562988,7532.306641,7453.845215,7466.050293,3630.123535,49742
2010-04-08,7427.691406,7438.152832,7382.357910,7406.768066,3601.298828,34715
2010-04-09,7471.280762,7551.485840,7462.562988,7507.896484,3650.469727,41018
2010-04-12,7549.742188,7670.050293,7541.024414,7565.434570,3678.446045,61447
2010-04-13,7567.178223,7567.178223,7413.742676,7413.742676,3604.690430,51451
2010-04-14,7497.434570,7886.255371,7493.947754,7851.383301,3817.479980,108024
2010-04-15,7931.588379,8194.870117,7889.742188,8158.255371,3966.685059,92785
2010-04-16,8074.562988,8254.152344,8003.075684,8003.075684,3891.234375,56073
2010-04-19,7933.332031,8010.050293,7771.178223,7985.639648,3882.756836,28722
2010-04-20,8048.409180,8072.819336,8023.998535,8051.895996,3914.971924,39045
2010-04-22,8032.716797,8156.511719,7985.639648,7999.588379,3889.538818,31245
2010-04-23,8050.152832,8477.332031,8037.947266,8369.229492,4069.265137,78653
2010-04-26,8494.767578,8642.972656,8351.793945,8377.947266,4073.503662,40617
2010-04-27,8372.716797,8412.819336,8292.511719,8329.126953,4049.766846,32547
2010-04-28,8191.383301,8227.999023,8013.537109,8119.895996,3979.087158,50080
2010-04-29,8128.614258,8255.896484,8126.870605,8255.896484,4045.733154,28229
2010-05-03,8116.409180,8236.716797,8116.409180,8170.460449,4003.865723,22270
2010-05-04,8212.306641,8290.767578,7968.204102,7968.204102,3904.751221,55987
2010-05-05,7950.768066,8013.537109,7609.024414,7694.460449,3770.605957,71438
2010-05-06,7575.896484,7844.409180,7561.947754,7671.793457,3759.497803,59142
2010-05-07,7427.691406,7605.537109,7359.691406,7359.691406,3606.555908,68238
2010-05-10,7668.306641,7982.152832,7636.921875,7908.921875,3875.701172,64797
2010-05-11,7839.178223,7950.768066,7725.844727,7790.357910,3817.600342,35753
2010-05-12,8369.229492,8566.254883,8282.049805,8487.793945,4159.372559,113134
2010-05-14,8487.793945,8487.793945,8487.793945,8487.793945,4159.372559,0
2010-05-17,8212.306641,8386.665039,8078.049805,8269.844727,4052.567871,62336
2010-05-18,8386.665039,8465.126953,8299.486328,8397.126953,4114.941895,31980
2010-05-19,8146.049805,8193.126953,7950.768066,8017.024414,3928.675293,80225
2010-05-20,8041.434570,8125.126953,7520.101563,7617.742188,3733.010742,84750
2010-05-21,7544.511719,7722.357910,7411.999023,7577.639648,3713.359131,72287
2010-05-25,7443.383301,7443.383301,7133.024414,7248.101563,3551.871582,94173
2010-05-26,7495.690918,7696.204102,7375.383301,7654.357910,3750.953857,55557
2010-05-27,7706.665527,8043.178223,7673.537109,8020.511719,3930.384766,60862
2010-05-28,8153.024414,8177.434570,7889.742188,7915.895996,3879.118164,46897
2010-05-31,7854.870605,8081.537109,7853.126953,8060.614258,3950.036621,26170
2010-06-01,8071.075684,8104.204102,7863.588379,8072.819336,3956.017334,43462
2010-06-02,8001.332031,8041.434570,7893.229492,8003.075684,3921.840332,33390
2010-06-03,8142.562988,8222.767578,8085.024414,8222.767578,4029.498535,42555
2010-06-04,8282.049805,8374.459961,8055.383301,8081.537109,3960.289551,79112
2010-06-07,7872.306641,8071.075684,7814.768066,7976.921875,3909.023682,28429
2010-06-08,8086.768066,8126.870605,7868.819336,7928.101563,3885.099854,34016
2010-06-09,8003.075684,8107.690918,7917.639648,8107.690918,3973.105957,45612
2010-06-10,8072.819336,8343.075195,8037.947266,8343.075195,4088.454102,47666
2010-06-11,8404.101563,8613.332031,8404.101563,8529.639648,4179.879395,89195
2010-06-14,8630.767578,8761.537109,8602.870117,8745.844727,4285.828125,49220
2010-06-15,8649.947266,8892.306641,8648.204102,8855.691406,4339.657227,48922
2010-06-16,8956.819336,8979.485352,8595.896484,8698.767578,4262.758789,68943
2010-06-17,8683.075195,8970.767578,8683.075195,8812.101563,4318.297363,46071
